--- CHECKING COMISIONES FOR NULLS IN REQUIRED FIELDS ---
Found 63 invalid comisiones:
(1, 'C1DM1', None, 'mañana', datetime.datetime(2026, 3, 12, 19, 7, 27, 322679), datetime.datetime(2026, 3, 30, 14, 43, 25, 530477))
(7, 'C1DM2', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 45, 50, 972816), datetime.datetime(2026, 3, 30, 14, 43, 25, 530480))
(18, 'C1BM1', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 53, 30, 159014), datetime.datetime(2026, 3, 30, 14, 43, 25, 530480))
(19, 'C1BM2', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 53, 50, 847037), datetime.datetime(2026, 3, 30, 14, 43, 25, 530481))
(22, 'C1CM1', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 54, 47, 990748), datetime.datetime(2026, 3, 30, 14, 43, 25, 530483))
(23, 'C1CM2', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 55, 0, 684494), datetime.datetime(2026, 3, 30, 14, 43, 25, 530483))
(24, 'C1AM1', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 55, 27, 498846), datetime.datetime(2026, 3, 30, 14, 43, 25, 530484))
(25, 'C1AM2', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 55, 48, 549661), datetime.datetime(2026, 3, 30, 14, 43, 25, 530484))
(36, 'C1BT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 1, 18, 331421), datetime.datetime(2026, 3, 30, 14, 43, 25, 530485))
(37, 'C1BT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 1, 34, 8848), datetime.datetime(2026, 3, 30, 14, 43, 25, 530485))
(38, 'C1CT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 9, 7, 987189), datetime.datetime(2026, 3, 30, 14, 43, 25, 530485))
(39, 'C1CT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 9, 20, 795796), datetime.datetime(2026, 3, 30, 14, 43, 25, 530485))
(46, 'C1DT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 13, 4, 24112), datetime.datetime(2026, 3, 30, 14, 43, 25, 530485))
(47, 'C1DT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 16, 35, 799854), datetime.datetime(2026, 3, 30, 14, 43, 25, 530486))
(57, 'C1AT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 49, 42, 741131), datetime.datetime(2026, 3, 30, 14, 43, 25, 530486))
(58, 'C1AT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 50, 3, 5023), datetime.datetime(2026, 3, 30, 14, 43, 25, 530486))
(15, 'C2AM1', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 50, 29, 499936), datetime.datetime(2026, 3, 30, 14, 43, 28, 131256))
(16, 'C2AM2', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 50, 52, 837788), datetime.datetime(2026, 3, 30, 14, 43, 28, 131258))
